                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.4707,                0.15482,                0.90532,                0.86506,                0.76763,                0.83693,                0.51606,                      0,                    inf,                      0,               0.008779,               0.008779,               0.008779
                     39,                 1.4662,                0.15429,                0.90594,                0.86887,                0.76675,                0.83741,                0.51623,                      0,                    inf,                      0,               0.008746,               0.008746,               0.008746
                     40,                 1.4679,                0.15379,                0.90449,                 0.8698,                0.77139,                0.84039,                0.51864,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     41,                  1.464,                0.15336,                 0.9035,                0.86953,                0.76914,                0.83773,                 0.5165,                      0,                    inf,                      0,                0.00868,                0.00868,                0.00868
                     42,                 1.4603,                0.15314,                0.90428,                0.87167,                 0.7707,                0.84057,                0.51951,                      0,                    inf,                      0,               0.008647,               0.008647,               0.008647
                     43,                 1.4539,                0.15277,                0.90333,                0.87008,                0.77106,                0.84119,                0.51965,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     44,                 1.4536,                0.15202,                0.90153,                0.87016,                0.77158,                0.84073,                0.52115,                      0,                    inf,                      0,               0.008581,               0.008581,               0.008581
                     45,                 1.4487,                0.15204,                0.90182,                0.87114,                0.77293,                0.84379,                0.52257,                      0,                    inf,                      0,               0.008548,               0.008548,               0.008548
                     46,                   1.45,                0.15209,                0.90174,                0.87163,                0.77374,                0.84477,                0.52307,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                     47,                 1.4489,                0.15168,                0.90032,                0.87381,                0.77173,                0.84569,                0.52482,                      0,                    inf,                      0,               0.008482,               0.008482,               0.008482
                     48,                 1.4452,                0.15165,                0.90101,                0.87217,                0.77414,                0.84604,                0.52497,                      0,                    inf,                      0,               0.008449,               0.008449,               0.008449
                     49,                 1.4382,                0.15066,                0.89851,                0.87516,                 0.7749,                0.84558,                0.52558,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     50,                 1.4415,                0.15092,                0.89866,                0.87177,                 0.7742,                0.84687,                0.52639,                      0,                    inf,                      0,               0.008383,               0.008383,               0.008383
                     51,                 1.4384,                0.15078,                 0.8979,                0.87415,                0.77623,                0.84807,                0.52774,                      0,                    inf,                      0,                0.00835,                0.00835,                0.00835
                     52,                 1.4357,                0.15034,                0.89846,                0.87368,                 0.7772,                0.84867,                0.52904,                      0,                    inf,                      0,               0.008317,               0.008317,               0.008317
                     53,                 1.4395,                0.15044,                 0.8981,                0.87348,                0.77748,                0.84797,                0.52848,                      0,                    inf,                      0,               0.008284,               0.008284,               0.008284
                     54,                 1.4316,                0.14979,                0.89713,                0.87097,                0.77816,                0.84793,                0.52922,                      0,                    inf,                      0,               0.008251,               0.008251,               0.008251
                     55,                 1.4334,                0.15017,                0.89788,                0.87435,                0.77722,                0.84863,                0.52946,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     56,                 1.4281,                0.14927,                0.89668,                0.87632,                0.77628,                0.84934,                0.52973,                      0,                    inf,                      0,               0.008185,               0.008185,               0.008185
                     57,                 1.4235,                0.14905,                 0.8958,                0.87465,                0.77761,                0.84987,                0.53122,                      0,                    inf,                      0,               0.008152,               0.008152,               0.008152
                     58,                 1.4282,                0.14934,                0.89672,                0.87315,                0.78074,                0.84992,                0.53079,                      0,                    inf,                      0,               0.008119,               0.008119,               0.008119
                     59,                 1.4269,                0.14899,                0.89585,                 0.8727,                0.78296,                0.85041,                0.53148,                      0,                    inf,                      0,               0.008086,               0.008086,               0.008086
                     60,                 1.4233,                0.14862,                0.89534,                0.87509,                0.78095,                0.85127,                0.53198,                      0,                    inf,                      0,               0.008053,               0.008053,               0.008053
                     61,                 1.4192,                0.14845,                0.89482,                0.87606,                0.78039,                0.85208,                 0.5334,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     62,                  1.417,                 0.1484,                0.89514,                0.87401,                0.78142,                0.85104,                0.53302,                      0,                    inf,                      0,               0.007987,               0.007987,               0.007987
                     63,                 1.4204,                0.14831,                0.89485,                0.87748,                0.78056,                0.85142,                0.53346,                      0,                    inf,                      0,               0.007954,               0.007954,               0.007954
                     64,                 1.4208,                0.14848,                0.89418,                0.87702,                0.78169,                0.85267,                0.53427,                      0,                    inf,                      0,               0.007921,               0.007921,               0.007921
                     65,                 1.4182,                0.14821,                0.89445,                0.87532,                0.78091,                0.85211,                0.53377,                      0,                    inf,                      0,               0.007888,               0.007888,               0.007888
                     66,                 1.4175,                0.14789,                0.89331,                0.87309,                0.78546,                0.85379,                0.53508,                      0,                    inf,                      0,               0.007855,               0.007855,               0.007855
                     67,                 1.4157,                0.14757,                0.89353,                 0.8746,                0.78448,                0.85365,                0.53513,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     68,                 1.4111,                0.14745,                 0.8934,                0.87493,                0.78514,                0.85445,                0.53667,                      0,                    inf,                      0,               0.007789,               0.007789,               0.007789
                     69,                 1.4032,                0.14646,                0.89105,                0.87619,                0.78495,                 0.8545,                0.53699,                      0,                    inf,                      0,               0.007756,               0.007756,               0.007756
                     70,                 1.4139,                0.14755,                0.89225,                0.87613,                0.78503,                0.85495,                0.53706,                      0,                    inf,                      0,               0.007723,               0.007723,               0.007723
