                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4581,                 1.6852,                 2.0707,                 0.6661,                 0.5273,                 0.5718,                 0.2824,                      0,                    inf,                      0,               0.070022,              0.0033309,              0.0033309
                      1,                 1.9854,                0.99235,                 1.3126,                0.76603,                0.63981,                0.71452,                0.38966,                      0,                    inf,                      0,                   0.04,              0.0066422,              0.0066422
                      2,                 1.8094,                0.89778,                 1.2233,                0.82043,                0.71699,                0.79027,                0.45542,                      0,                    inf,                      0,               0.009956,              0.0099316,              0.0099316
                      3,                 1.6817,                0.82404,                 1.1629,                0.84132,                0.75245,                0.82309,                0.48757,                      0,                    inf,                      0,               0.009901,               0.009901,               0.009901
                      4,                 1.5866,                0.76241,                 1.1203,                0.86221,                0.76418,                0.84496,                0.51287,                      0,                    inf,                      0,               0.009901,               0.009901,               0.009901
                      5,                 1.5353,                0.72816,                 1.0984,                0.86493,                0.77485,                0.85004,                0.51959,                      0,                    inf,                      0,               0.009868,               0.009868,               0.009868
                      6,                 1.4956,                0.70183,                 1.0816,                0.88218,                0.79686,                0.86983,                0.54155,                      0,                    inf,                      0,               0.009835,               0.009835,               0.009835
                      7,                 1.4625,                0.68001,                 1.0731,                0.88443,                0.80407,                0.87456,                0.54639,                      0,                    inf,                      0,               0.009802,               0.009802,               0.009802
                      8,                  1.444,                0.66574,                 1.0648,                0.88937,                0.81004,                0.88236,                0.55369,                      0,                    inf,                      0,               0.009769,               0.009769,               0.009769
                      9,                 1.4216,                0.64766,                 1.0526,                0.88961,                0.81515,                0.88488,                 0.5595,                      0,                    inf,                      0,               0.009736,               0.009736,               0.009736
                     10,                 1.4092,                0.64073,                 1.0488,                0.89648,                0.81664,                0.88911,                0.56337,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                     11,                 1.3928,                0.62846,                 1.0415,                0.89561,                0.82157,                0.88909,                0.56675,                      0,                    inf,                      0,                0.00967,                0.00967,                0.00967
                     12,                 1.3794,                 0.6192,                 1.0377,                0.90031,                0.82306,                0.89405,                0.57174,                      0,                    inf,                      0,               0.009637,               0.009637,               0.009637
                     13,                 1.3729,                0.61242,                 1.0362,                0.89982,                0.82664,                0.89461,                0.57173,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                     14,                 1.3666,                0.60627,                  1.031,                0.89901,                0.83096,                0.89662,                0.57514,                      0,                    inf,                      0,               0.009571,               0.009571,               0.009571
                     15,                 1.3539,                0.59854,                 1.0267,                0.89914,                0.83664,                0.90086,                0.57792,                      0,                    inf,                      0,               0.009538,               0.009538,               0.009538
                     16,                 1.3463,                0.59391,                 1.0233,                0.90236,                0.83444,                0.89953,                0.57863,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                     17,                 1.3449,                0.59215,                 1.0216,                0.90481,                0.83699,                0.90351,                0.58314,                      0,                    inf,                      0,               0.009472,               0.009472,               0.009472
