                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0205,                0.46942,                 1.6516,                0.55816,                0.39115,                 0.4198,                0.17345,                      0,                    inf,                      0,               0.070059,              0.0033268,              0.0033268
                      1,                 2.5562,                0.27421,                   1.15,                0.64051,                0.50929,                0.55991,                0.25763,                      0,                    inf,                      0,               0.040037,              0.0066382,              0.0066382
                      2,                 2.2722,                0.24389,                 1.0861,                 0.6765,                0.52266,                0.57322,                0.27562,                      0,                    inf,                      0,              0.0099926,              0.0099275,              0.0099275
                      3,                 2.0869,                0.22464,                 1.0457,                0.72862,                0.60264,                0.66552,                 0.3372,                      0,                    inf,                      0,               0.009901,               0.009901,               0.009901
                      4,                 1.9644,                0.21125,                 1.0159,                0.74797,                0.61873,                0.68823,                0.36305,                      0,                    inf,                      0,               0.009901,               0.009901,               0.009901
                      5,                 1.8931,                 0.2036,                0.99921,                0.78413,                0.64818,                0.71624,                 0.3877,                      0,                    inf,                      0,               0.009868,               0.009868,               0.009868
                      6,                  1.837,                0.19763,                0.98568,                 0.7904,                0.66238,                0.72671,                0.39996,                      0,                    inf,                      0,               0.009835,               0.009835,               0.009835
                      7,                 1.7924,                0.19305,                0.97963,                0.79192,                0.67441,                0.73589,                0.41119,                      0,                    inf,                      0,               0.009802,               0.009802,               0.009802
                      8,                 1.7657,                   0.19,                 0.9736,                0.79539,                0.68747,                  0.753,                0.41851,                      0,                    inf,                      0,               0.009769,               0.009769,               0.009769
                      9,                 1.7353,                0.18627,                0.96424,                0.81131,                0.68739,                0.75321,                0.42485,                      0,                    inf,                      0,               0.009736,               0.009736,               0.009736
                     10,                 1.7192,                0.18479,                0.96114,                0.81228,                0.69628,                0.76501,                0.43131,                      0,                    inf,                      0,               0.009703,               0.009703,               0.009703
                     11,                 1.6956,                0.18181,                0.95609,                0.82281,                0.69846,                0.76466,                0.43681,                      0,                    inf,                      0,                0.00967,                0.00967,                0.00967
                     12,                 1.6788,                0.17988,                0.95355,                0.82173,                0.70362,                0.76907,                0.44235,                      0,                    inf,                      0,               0.009637,               0.009637,               0.009637
                     13,                 1.6659,                0.17864,                0.95135,                0.82573,                0.70743,                0.77288,                0.44331,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                     14,                  1.658,                0.17718,                0.94655,                0.82534,                0.71393,                 0.7812,                0.44906,                      0,                    inf,                      0,               0.009571,               0.009571,               0.009571
                     15,                  1.645,                0.17577,                0.94456,                0.82639,                0.71898,                0.78288,                0.45467,                      0,                    inf,                      0,               0.009538,               0.009538,               0.009538
                     16,                 1.6336,                0.17427,                0.94117,                0.83051,                0.71936,                0.78542,                0.45721,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                     17,                 1.6238,                0.17363,                0.93918,                0.83267,                0.72036,                 0.7847,                0.45793,                      0,                    inf,                      0,               0.009472,               0.009472,               0.009472
                     18,                 1.6209,                0.17286,                0.93746,                0.83456,                0.72614,                0.79529,                0.46426,                      0,                    inf,                      0,               0.009439,               0.009439,               0.009439
                     19,                 1.6077,                0.17188,                0.93715,                0.83647,                0.72531,                0.79282,                 0.4639,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                     20,                 1.6042,                0.17062,                0.93441,                0.84273,                0.72706,                0.79822,                0.46828,                      0,                    inf,                      0,               0.009373,               0.009373,               0.009373
                     21,                 1.5975,                0.17022,                0.93406,                0.83919,                0.73212,                0.79855,                0.46989,                      0,                    inf,                      0,                0.00934,                0.00934,                0.00934
                     22,                 1.5861,                 0.1688,                0.93131,                0.84244,                0.73447,                0.79978,                0.47328,                      0,                    inf,                      0,               0.009307,               0.009307,               0.009307
                     23,                 1.5811,                0.16863,                 0.9296,                0.84066,                0.73369,                0.80312,                0.47307,                      0,                    inf,                      0,               0.009274,               0.009274,               0.009274
                     24,                 1.5778,                0.16771,                  0.929,                0.84958,                0.73248,                 0.8025,                0.47523,                      0,                    inf,                      0,               0.009241,               0.009241,               0.009241
                     25,                 1.5723,                0.16729,                0.92807,                0.84545,                 0.7375,                0.80404,                0.47587,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                     26,                 1.5726,                0.16699,                0.92785,                0.84703,                0.74031,                0.80874,                 0.4805,                      0,                    inf,                      0,               0.009175,               0.009175,               0.009175
                     27,                 1.5688,                 0.1667,                0.92697,                0.84636,                0.74053,                0.80906,                0.48168,                      0,                    inf,                      0,               0.009142,               0.009142,               0.009142
                     28,                 1.5619,                0.16597,                0.92463,                0.84794,                0.74249,                0.81141,                0.48379,                      0,                    inf,                      0,               0.009109,               0.009109,               0.009109
                     29,                 1.5562,                0.16518,                 0.9237,                0.84879,                0.74106,                 0.8122,                0.48461,                      0,                    inf,                      0,               0.009076,               0.009076,               0.009076
                     30,                 1.5474,                 0.1641,                 0.9217,                0.84771,                0.74411,                0.81227,                0.48419,                      0,                    inf,                      0,               0.009043,               0.009043,               0.009043
                     31,                 1.5518,                0.16468,                0.92181,                0.85302,                0.74319,                0.81465,                0.48742,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                     32,                 1.5452,                0.16371,                0.91976,                0.85432,                0.74516,                0.81493,                0.48959,                      0,                    inf,                      0,               0.008977,               0.008977,               0.008977
                     33,                 1.5405,                 0.1635,                0.92198,                0.85516,                0.74599,                0.81666,                0.49004,                      0,                    inf,                      0,               0.008944,               0.008944,               0.008944
                     34,                 1.5364,                0.16257,                0.91768,                0.85297,                0.74745,                0.81877,                0.49082,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                     35,                 1.5309,                0.16227,                0.91867,                0.85949,                 0.7483,                0.82096,                0.49332,                      0,                    inf,                      0,               0.008878,               0.008878,               0.008878
                     36,                 1.5304,                0.16198,                0.91787,                0.85639,                0.74769,                0.81941,                 0.4936,                      0,                    inf,                      0,               0.008845,               0.008845,               0.008845
                     37,                 1.5292,                0.16221,                0.91859,                0.85791,                 0.7506,                0.82092,                0.49448,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                     38,                 1.5255,                0.16167,                0.91652,                0.85594,                0.75108,                0.82205,                0.49594,                      0,                    inf,                      0,               0.008779,               0.008779,               0.008779
                     39,                 1.5229,                0.16135,                0.91811,                0.85472,                0.75322,                0.82222,                0.49604,                      0,                    inf,                      0,               0.008746,               0.008746,               0.008746
                     40,                  1.523,                0.16087,                0.91569,                0.86113,                0.75275,                0.82447,                0.49829,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                     41,                  1.519,                 0.1603,                0.91505,                0.85496,                0.75491,                 0.8229,                0.49786,                      0,                    inf,                      0,                0.00868,                0.00868,                0.00868
                     42,                 1.5166,                0.16035,                0.91575,                0.85756,                0.75188,                0.82355,                0.49898,                      0,                    inf,                      0,               0.008647,               0.008647,               0.008647
                     43,                 1.5114,                0.15982,                0.91542,                0.85769,                0.75616,                0.82545,                0.50007,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                     44,                 1.5102,                0.15927,                 0.9133,                0.85988,                0.75549,                 0.8264,                0.50064,                      0,                    inf,                      0,               0.008581,               0.008581,               0.008581
